Number,uid,name,Staff,HWP,Location,HWP.1,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share,PCA1_Difficulty,Uploaded,Sample_bi,Super_user
3775,20283,alexdavidgeorge,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/11/2016,31/12/1969,31/12/1969,14/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3776,20284,kumarthapa,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/11/2016,31/12/1969,31/12/1969,14/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3777,20285,kirsi.matikainen,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/11/2016,31/12/1969,31/12/1969,14/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3778,20286,tim,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/11/2016,31/12/1969,31/12/1969,14/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3779,20288,Zulfiya.Madyarova,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/11/2016,31/12/1969,31/12/1969,14/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3780,20295,leslie_morgan91,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/11/2016,31/12/1969,31/12/1969,17/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3781,20299,Flipflop55,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/11/2016,20/11/2016,20/11/2016,20/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3782,20310,eglennrn,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,21/11/2016,21/11/2016,21/11/2016,21/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3783,20318,mbeard,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/11/2016,22/11/2016,22/11/2016,22/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3784,20338,141414,0,0,Blitz,0,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/11/2016,31/12/1969,31/12/1969,24/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3785,20339,cindyandy351,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/11/2016,31/12/1969,31/12/1969,24/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3786,20357,jedwarde,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3787,20363,cap-malheureux,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3788,20364,christophe,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3789,20366,jbabet,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3790,20367,anaelle,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3791,20368,louissarah,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3792,20369,manargadoo,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3793,20370,cedric,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3794,20372,regina,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3795,20377,sebastien,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3796,20379,azie,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3797,20380,tamamsa,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3798,20381,sandrinej,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,01/12/2016,01/12/2016,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3799,20382,eric,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3800,20383,jovani,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,01/12/2016,01/12/2016,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3801,20384,efarym,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/12/2016,31/12/1969,31/12/1969,01/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3802,20386,MARYJPAN,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/12/2016,31/12/1969,31/12/1969,02/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3803,20387,MARYJPANHSBC,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/12/2016,02/12/2016,02/12/2016,02/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3804,20388,RaymundoCast,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/12/2016,31/12/1969,31/12/1969,02/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3805,20406,ibrahimalabed,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3806,20407,sadeqalhaddad,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3807,20408,Juhaina.alshukairi,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3808,20409,Elham.almaawali,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3809,20413,noha.osama,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3810,20414,Samar.alaa.taimour,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3811,20416,Nadir.ibrahim,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/12/2016,31/12/1969,31/12/1969,07/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3812,20421,kchang,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/12/2016,31/12/1969,31/12/1969,08/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3813,20422,sarahlittlefield,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/12/2016,31/12/1969,31/12/1969,08/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3814,20432,aj.alkhalsan,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/2016,31/12/1969,31/12/1969,12/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3815,20433,sara.m.mattar,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/2016,12/12/2016,12/12/2016,12/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3816,20441,welly-frooty,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/2016,12/12/2016,12/12/2016,12/12/2016,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
3817,20442,adam,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/12/2016,12/12/2016,12/12/2016,12/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3818,20484,mohdhunaiti,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3819,20486,Sayed.alqassab,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3820,20488,waheedalbalushi,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3821,20492,amrkandil,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3822,20495,mohamedtammam,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3823,20497,Pymobility,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,31/12/1969,31/12/1969,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3824,20498,Paul Henbrey,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/12/2016,19/12/2016,19/12/2016,19/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3825,20503,smcgill,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/12/2016,22/12/2016,22/12/2016,22/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3826,20506,Dylanj7,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/12/2016,31/12/1969,31/12/1969,24/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3827,20511,Stanch,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/12/2016,31/12/1969,31/12/1969,27/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3828,20525,kerryho98,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3829,20526,y74w48,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3830,20528,qaz67065856,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3831,20529,Choilee234,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3832,20530,skkam39,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3833,20531,tang09639,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,03/01/2017,31/12/1969,31/12/1969,03/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3834,20538,Meinteb,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01/2017,04/01/2017,04/01/2017,04/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3835,20539,Meinteboersma,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01/2017,31/12/1969,31/12/1969,04/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3836,20548,Hasan.a.jasim,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/01/2017,31/12/1969,31/12/1969,09/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3837,20549,alex.popescu,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/01/2017,31/12/1969,31/12/1969,09/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3838,20552,1213330206,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/01/2017,31/12/1969,31/12/1969,09/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3839,20561,anitasamanta,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3840,20562,ajita1samanta,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3841,20563,fatima.salman,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3842,20564,lyes.guiz,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3843,20565,f.belaidi89,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3844,20566,tarekwally,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3845,20567,Lamis.salem,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3846,20570,fyyang,0,1,Hong Kong,1,13.12195122,1,1,1,9,9,9,11,0,1,1,6.695121951,1,0,1,NA,NA,NA,NA,NA,11/01/2017,31/12/1969,31/12/1969,11/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,1.5018,0,0,0
3847,20573,ajitasamanta1,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/01/2017,31/12/1969,31/12/1969,12/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3848,20593,sally.potts,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/01/2017,14/01/2017,14/01/2017,14/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3849,20596,wjyeo,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/01/2017,15/01/2017,15/01/2017,15/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3850,20604,h.ourahmane,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/01/2017,31/12/1969,31/12/1969,17/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3851,20609,Mohamed.megahed,0,0,UAE,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/01/2017,31/12/1969,31/12/1969,19/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3852,20616,spinza22,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/01/2017,31/12/1969,31/12/1969,22/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3853,20624,Keith Skelhorn,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/01/2017,24/01/2017,24/01/2017,24/01/2017,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
3854,20625,ian baillie,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/01/2017,31/12/1969,31/12/1969,24/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3855,20627,sailplanebob,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/01/2017,24/01/2017,24/01/2017,24/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3856,20631,jpitts,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/01/2017,25/01/2017,25/01/2017,25/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3857,20633,marcoranger,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/01/2017,31/12/1969,31/12/1969,25/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3858,20640,Sabinakalamus@gmail.com,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/01/2017,31/12/1969,31/12/1969,30/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3859,20645,JC,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/02/2017,31/12/1969,31/12/1969,02/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3860,20646,JC2018,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/02/2017,31/12/1969,31/12/1969,02/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3861,20650,imaanbhatia,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/02/2017,31/12/1969,31/12/1969,03/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3862,20654,JonasAgua,0,0,NULL,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/02/2017,31/12/1969,31/12/1969,05/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-1.0279,0,0,0
3863,20656,jwatsonreynolds,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2017,06/02/2017,06/02/2017,06/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3864,20658,gsmithson,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2017,31/12/1969,31/12/1969,06/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3865,20660,clareoll,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2017,06/02/2017,06/02/2017,06/02/2017,0,0,0,0,0,0,0,0,0,1,0,0,-0.7625,0,0,0
3866,20661,bafishing,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2017,31/12/1969,31/12/1969,06/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3867,20662,mph23,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06/02/2017,06/02/2017,06/02/2017,06/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3868,20670,Xiangling,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/02/2017,31/12/1969,31/12/1969,08/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3869,20675,Danielaj1987,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/02/2017,31/12/1969,31/12/1969,12/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3870,20677,mb3x,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/02/2017,12/02/2017,12/02/2017,12/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
3871,20678,michaelbourke05@yahoo.com.au,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/02/2017,31/12/1969,31/12/1969,12/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.7625,0,0,0
